timestamp,module,level,pid,tid,client_ip,client_port,error_code,message,log_type
Sat May 10 10:00:00.000000 2025,proxy_http,notice,5654,95997,192.115.111.15,12240,AH00687,Negotiation: discovered file(s) matching request,error
Sat May 10 10:00:11.000000 2025,proxy_http,warn,7881,75489,193.102.101.204,4659,AH00094,Command line: '/usr/sbin/apache2',error
Sat May 10 10:00:16.000000 2025,rewrite,warn,5840,99165,192.115.111.15,12240,AH00169,"caught SIGTERM, shutting down",error
Sat May 10 10:01:00.000000 2025,mpm_prefork,notice,4882,,,,AH00163,Apache/2.4.41 (Ubuntu) configured -- resuming normal operations,error
Sat May 10 10:01:12.000000 2025,authz_core,error,4882,94655,203.0.113.7,49821,AH01630,client denied by server configuration: /var/www/private,error
Sat May 10 10:01:18.000000 2025,core,notice,4882,,,,AH00094,Command line: '/usr/sbin/apache2',error
Sat May 10 10:01:44.000000 2025,rewrite,warn,4882,91288,198.51.100.9,34567,AH00667,The RewriteEngine directive is deprecated,error
Sat May 10 10:02:01.000000 2025,ssl,error,4882,87322,203.0.113.18,56100,AH02032,Hostname www.example.com provided via SNI and hostname example.net provided via HTTP are different,error
Sat May 10 10:02:17.000000 2025,core,error,4882,87322,192.0.2.123,55876,AH00126,Invalid URI in request GET /%00 HTTP/1.1,error
Sat May 10 10:03:05.000000 2025,access_compat,error,4882,91288,198.51.100.5,41212,AH01797,client denied by server configuration: /var/www/html/.htaccess,error
Sat May 10 10:03:36.000000 2025,rewrite,notice,4882,95411,203.0.113.200,38220,AH00670,RewriteCond pattern '[^a-zA-Z0-9]' does not match,error
Sat May 10 10:03:57.000000 2025,proxy_http,warn,4882,87542,10.0.0.1,60000,AH01144,No protocol handler was valid for the URL /api/data,error
Sat May 10 10:04:11.000000 2025,mpm_prefork,notice,4882,,,,AH00169,"caught SIGTERM, shutting down",error
Sat May 10 10:04:24.000000 2025,authn_file,error,5980,90122,198.51.100.4,50112,AH01617,"user admin: authentication failure for ""/admin"": Password Mismatch",error
Sat May 10 10:04:40.000000 2025,ssl,warn,5980,92113,203.0.113.5,34345,AH01909,www.example.com:443:0 server certificate does NOT include an ID which matches the server name,error
Sat May 10 10:05:01.000000 2025,core,error,5980,93822,192.0.2.45,41003,AH00124,Request exceeded the limit of 10 internal redirects due to probable configuration error.,error
Sat May 10 10:05:33.000000 2025,proxy_fcgi,error,5980,94999,198.51.100.2,59123,AH01071,Got error 'Primary script unknown',error
Sat May 10 10:06:14.000000 2025,rewrite,warn,5980,95423,203.0.113.21,54444,AH00665,Invalid regular expression '^/$',error
Sat May 10 10:06:45.000000 2025,mpm_prefork,notice,5980,,,,AH00163,Apache/2.4.41 (Ubuntu) configured -- resuming normal operations,error
Sat May 10 10:07:09.000000 2025,core,notice,5980,,,,AH00094,Command line: '/usr/sbin/apache2',error
Sat May 10 10:07:42.000000 2025,authz_core,debug,5980,99999,10.0.2.15,39282,AH01626,authorization result of Require all granted: granted,error
Sat May 10 10:08:01.000000 2025,proxy_fcgi,error,5980,98341,198.51.100.3,45500,AH01067,Failed to read FastCGI header,error
Sat May 10 10:08:37.000000 2025,deflate,warn,5980,96329,203.0.113.6,40333,AH01384,Zlib: Compressed data not written to client,error
Sat May 10 10:09:00.000000 2025,authn_core,error,5980,94412,192.0.2.88,33210,AH01796,AuthType configured with no corresponding module,error
Sat May 10 10:09:29.000000 2025,proxy,error,5980,97612,198.51.100.101,31254,AH00898,Error reading from remote server returned by /api/slow,error
Sat May 10 10:10:15.000000 2025,rewrite,notice,5980,94200,203.0.113.40,50234,AH00670,RewriteCond pattern '[0-9]{3}' does match,error
Sat May 10 10:10:39.000000 2025,core,error,5980,99992,198.51.100.77,42103,AH00128,File does not exist: /var/www/html/missing.html,error
Sat May 10 10:11:00.000000 2025,ssl,warn,5980,98765,203.0.113.100,51000,AH01906,www.example.com:443:0 server certificate is expired,error
Sat May 10 10:11:29.000000 2025,proxy_ajp,error,5980,98211,192.0.2.200,60212,AH00878,read response failed from 127.0.0.1:8009 (localhost),error
Sat May 10 10:12:00.000000 2025,rewrite,error,5980,99900,198.51.100.200,39213,AH00664,RewriteCond: bad flag delimiters,error
